PMU,correlation
context_switches,-0.9763970647355553
L1_icache_load_misses,-0.9724176479101604
dTLB_load_misses,-0.9655893915698566
branch_misses,-0.9640756023831082
branch_load_misses,-0.9640060525695218
LLC_store_misses,-0.9592705506513701
cache_misses,-0.9579115723359612
iTLB_load_misses,-0.9500547425682497
L1_dcache_load_misses,-0.9461783979178253
cache_references,-0.945955896659783
dTLB_loads,-0.9455815019129485
L1_dcache_loads,-0.9453634074544357
dTLB_stores,-0.9427266012356339
node_load_misses,-0.9422801070968961
LLC_loads,-0.9412103452085163
LLC_stores,-0.933429922944116
LLC_load_misses,-0.9305777673579423
dTLB_store_misses,-0.915806706359053
node_loads,-0.9076555455583432
page_faults,-0.8122449166054861
ipc,-0.7117096639492329
cpu_migrations,0.3103555693712596
cpu_stress,0.9139868004640262
qos,1.0

