,cpu_stress,qos,context_switches,branch_misses,branch_load_misses,ipc,cpu_migrations,page_faults,cache_references,cache_misses,LLC_loads,LLC_load_misses,LLC_stores,LLC_store_misses,L1_dcache_loads,L1_dcache_load_misses,L1_icache_load_misses,dTLB_load_misses,dTLB_loads,dTLB_store_misses,dTLB_stores,iTLB_load_misses,node_load_misses,node_loads
0,0.0,0.7918660683760683,19347.77192982456,32904748.192982458,32906324.10526316,1.1312280701754385,808.4912280701755,16976.245614035088,603074996.0701754,123029996.22807017,68223689.31578948,15271435.98245614,105756362.68421052,28636953.12280702,9385168318.824562,542045653.4561404,68768941.77192983,4819140.298245614,9387978091.31579,3959758.245614035,4191484813.736842,3982274.5789473685,7662555.912280702,7721737.087719298
1,5.0,0.8218702035398231,18721.327586206895,31847886.137931034,31858992.620689657,1.0898275862068967,1217.9827586206898,16001.344827586207,588004428.8275862,120789392.3275862,66036172.37931035,14584191.172413792,101507884.70689656,27872469.775862068,9177667424.344828,526875137.63793105,68151352.62068966,4683078.24137931,9060056574.01724,3699429.0862068967,4049122192.0,3854926.1896551726,7321547.775862069,7152205.982758621
2,10.0,0.8489879000000002,18194.526315789473,30971027.43859649,30977223.315789472,1.0561403508771932,1479.5087719298247,16357.771929824561,569804286.9473684,118326342.29824561,63420218.315789476,13807717.140350876,97414340.77192983,27062399.61403509,8838532972.298246,511242486.7719298,67622155.87719299,4586843.824561403,8912972505.14035,3487414.6140350876,3972539072.508772,3787027.0701754387,6803160.929824562,7052676.385964912
3,15.0,0.873140168224299,17795.0,30523177.49122807,30520081.47368421,1.026140350877193,1996.298245614035,17148.80701754386,558744580.3684211,116371193.61403508,62040645.526315786,13500900.92982456,93703874.07017544,26229753.52631579,8572177198.157895,497171837.3684211,67553845.15789473,4529242.245614035,8729681252.333334,3373931.736842105,3855973291.3508773,3664747.9122807016,6762847.456140351,6629848.403508772
4,20.0,0.9210751470588235,17441.719298245614,29292193.789473683,29278496.43859649,1.00859649122807,2939.684210526316,15723.684210526315,529428790.35087717,111713266.98245615,58803850.8245614,12691074.140350876,89657898.12280701,25413922.03508772,8269282941.035088,476184564.9122807,65102701.87719298,4385212.47368421,8235080872.105263,3146482.4385964912,3704043294.263158,3548377.1754385964,6768278.614035088,5964650.8771929825
5,25.0,0.9430033535353537,17222.21052631579,29300347.36842105,29302956.96491228,0.9989473684210525,3284.122807017544,15945.701754385966,518476056.8947368,110199876.49122807,57316136.19298246,12361480.315789474,87423994.71929824,25014617.10526316,8158275408.824561,466649083.24561405,64441057.19298246,4283010.543859649,8043494013.684211,3037552.1578947366,3567613007.4561405,3432101.263157895,6532655.49122807,5656297.03508772
6,30.0,0.9904894468085108,16910.736842105263,28073766.298245613,28065148.245614037,0.9791228070175437,3890.2105263157896,15197.982456140351,494106323.98245615,105100371.14035088,54408389.71929824,11587883.087719299,82240913.08771929,23864058.842105262,7715204770.192983,443437181.38596493,63161720.684210524,4201711.894736842,7699673702.561403,2903866.964912281,3439147292.017544,3329067.052631579,6034842.052631579,5529090.385964912
7,35.0,1.064127415730337,15688.526315789473,26337088.228070177,26329675.12280702,0.9775438596491228,4109.894736842105,14437.929824561403,461394313.19298244,98200098.66666667,50793160.80701754,10803039.228070175,77568433.61403508,22699120.59649123,7295378844.473684,419173583.7719298,59859423.596491225,4007951.6842105263,7354691743.140351,2744864.035087719,3185769044.4210525,3098348.2280701753,5749249.894736842,5017218.578947368
8,40.0,1.1087727058823529,15869.089285714286,26010012.5,26020122.82142857,0.9582142857142858,4784.875,14367.660714285714,443634699.41071427,95055024.30357143,48902267.83928572,10320342.607142856,72877826.05357143,21585069.625,6907332370.089286,397258113.14285713,57543927.96428572,3784833.6785714286,6911249789.839286,2534190.660714286,3110976060.285714,3002766.125,5452902.75,4854137.678571428
9,45.0,1.186896,15322.894736842105,24568479.9122807,24555654.45614035,0.9435087719298246,5269.877192982456,13800.508771929824,416054917.94736844,88770343.71929824,45620401.92982456,9560419.807017544,69118586.36842105,20845077.333333332,6624967622.894737,379867260.4385965,54990753.2631579,3600272.3859649124,6547526393.22807,2350266.5789473685,2870665147.140351,2784891.8421052634,5094471.947368421,4350183.368421053
10,50.0,1.2832567567567568,14591.482142857143,23261639.10714286,23283403.285714287,0.9330357142857143,5988.928571428572,13803.410714285714,385737475.5535714,82824436.75,42088971.60714286,8803541.07142857,62748212.28571428,19109769.44642857,6046581790.392858,346088695.53571427,51857611.375,3374163.964285714,6113090858.321428,2161497.9821428573,2703046736.232143,2643738.3571428573,4716091.196428572,4117580.8214285714
11,55.0,1.394294705882353,13423.875,21661989.80357143,21660097.82142857,0.9235714285714286,6162.678571428572,14746.339285714286,358901716.125,76725506.0,39080039.821428575,8172185.089285715,58242990.89285714,18025796.875,5707236141.267858,325416787.35714287,47321319.821428575,3113661.839285714,5605083084.25,1945617.9285714286,2470875506.214286,2345443.625,4347826.589285715,3545682.4464285714
12,60.0,1.5136300000000003,11813.666666666666,19881479.43859649,19885970.59649123,0.9219298245614035,5986.561403508772,13324.192982456141,325471557.7719298,69576429.1754386,35190324.85964912,7307236.719298245,53265242.315789476,16480039.122807018,5276450686.052631,298898005.2105263,44001787.1754386,2869166.1754385964,5270075298.017544,1799105.8596491227,2300944641.5789475,2147541.6666666665,3820218.245614035,3412355.3333333335
