,l3cache_stress,qos,context_switches,branch_misses,branch_load_misses,ipc,cpu_migrations,page_faults,cache_references,cache_misses,LLC_loads,LLC_load_misses,LLC_stores,LLC_store_misses,L1_dcache_loads,L1_dcache_load_misses,L1_icache_load_misses,dTLB_load_misses,dTLB_loads,dTLB_store_misses,dTLB_stores,iTLB_load_misses,node_load_misses,node_loads
0,1.0,0.8121490789473683,19140.087719298244,32362150.754385963,32349467.684210528,1.1026315789473684,833.5438596491229,16601.894736842107,586465519.9298246,134568355.54385966,66392765.403508775,15410216.824561404,106342600.45614035,29126250.0,9136444060.807018,529447620.7017544,68527483.33333333,4861864.684210527,9031112650.68421,3828918.947368421,4132375570.1754384,3952880.7192982454,7892370.649122807,7836290.192982456
1,2.0,0.8159444385964912,19249.78947368421,32250300.05263158,32277617.85964912,1.0943859649122807,792.0526315789474,16414.087719298244,600899864.4035088,139184225.75438598,69264818.24561404,15822272.859649124,106411761.3508772,29311642.0,9135545827.491228,531323123.1052632,68739772.4736842,5003209.859649123,9104743664.561403,3795520.1228070175,4060149808.4385967,3917632.2280701753,7881857.192982456,7797006.771929825
2,3.0,0.8317206936936938,18899.155172413793,31686712.810344826,31702479.396551725,1.0762068965517242,901.5689655172414,16475.793103448275,585588545.5172414,145604502.68965518,67813143.96551724,15737128.103448275,106909325.48275863,29702377.379310343,8989233278.931034,524024566.4655172,69381768.1724138,5052289.913793104,8960567608.87931,3763304.5862068967,3992273199.862069,3895396.2586206896,7784917.224137931,7958618.827586207
3,4.0,0.8447060454545453,18705.77192982456,31357027.36842105,31380129.666666668,1.0582456140350878,896.7543859649123,16023.298245614034,579122324.7719299,150126314.0877193,67228215.73684211,15855803.54385965,105991290.19298245,29772448.07017544,8876987254.210526,517143362.8947368,69299036.66666667,5050033.929824562,8820350689.631578,3695196.596491228,3940556219.9298244,3864889.8771929825,7830979.578947368,7988145.385964912
4,5.0,0.8542935779816516,18598.42105263158,31228276.43859649,31250223.175438598,1.0492982456140352,963.3508771929825,16341.438596491229,577156042.6491228,152984708.54385966,68526732.42105263,15955606.122807018,105770158.70175439,29686765.49122807,8796621261.0,514257095.61403507,69031293.0,5078195.47368421,8722655062.68421,3658756.4385964912,3897074932.631579,3886506.736842105,8002597.98245614,7845840.456140351
5,6.0,0.8698567102803737,18455.157894736843,31727160.684210528,31734208.771929823,1.03140350877193,996.4035087719299,15960.070175438597,568799025.4736842,157165941.92982456,67742374.01754385,15835952.842105264,104009078.4736842,29482993.842105262,8626222823.631578,506706962.122807,70058599.28070176,5168399.947368421,8677140599.929825,3668424.0701754387,3847444134.508772,3803114.7192982454,7883949.175438597,7980975.1228070175
6,7.0,0.8786006603773585,18510.40350877193,30769021.649122808,30779230.263157893,1.0242105263157895,1052.280701754386,15770.0,565366564.7719299,160438229.9649123,67304103.50877193,15726953.298245614,104173389.50877193,29690722.298245613,8539338555.105263,501260445.50877196,70037823.6491228,5168907.175438597,8549722842.491228,3562914.035087719,3778382870.7719297,3783473.649122807,7843603.736842105,7758886.684210527
7,8.0,0.8871682476190476,18155.298245614034,30404236.96491228,30411388.157894738,1.0117543859649123,1143.3684210526317,15691.0,562115177.5614035,163855389.31578946,67121298.84210527,15721060.350877194,103139198.42105263,29597944.333333332,8434477979.561403,495873673.9649123,69743523.03508772,5183463.684210527,8451456420.578947,3549037.2280701753,3779772768.9122806,3793981.8596491227,7887318.333333333,7769784.666666667
8,9.0,0.8971859326923077,18106.56140350877,30010821.228070177,30017324.59649123,0.9975438596491228,1157.5263157894738,15823.070175438597,560967117.7192982,164299527.98245615,67143435.87719299,15626294.94736842,102440456.89473684,29389630.10526316,8366575080.438597,492795922.05263156,70106858.50877193,5213655.684210527,8417854861.122807,3554282.964912281,3719501556.2807016,3765700.50877193,7797465.52631579,7660385.368421053
9,10.0,0.9073006764705881,17802.59649122807,29498618.210526317,29489939.03508772,0.9896491228070174,1272.9649122807018,15925.157894736842,554925732.2982457,167479412.9473684,66449663.75438596,15773294.45614035,102694415.77192983,29623897.157894738,8316756461.385965,490318345.7719298,69877479.96491228,5109049.947368421,8273238363.614035,3452763.8245614036,3690420061.0350876,3778781.0701754387,7922474.947368421,7742992.47368421
